Project ID,Project Name,Country / Economy,Type,Project Type / Modality of Assistance,Project Status,Some ID,Approval,Approval1,Some Number,Geographical Location,Sector / Subsector,W,X,Y,Z,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,A,B,C,ADB URL,Project Link,Description,link_visited_already
34038-013,Jamuna-Meghna River Erosion Mitigation Project,Bangladesh,Sovereign,Loan,Closed,1941,25/11/2002,11/25/02,"41,170,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,,A,South Asia Department,Bangladesh Water Development Board,"Ahmad, Zahir U.",,,,https://www.adb.org/projects/34038-013/main,https://www.adb.org/projects/34038-013/main,"The objective of the Project is to sustain and enhance the incomes and poverty reduction in Pabna Irrigation and Rural Development Project (PIRDP) and Meghna-Dhonagoda Irrigation Project (MDIP) areas through reliable, cost-effective and sustainable riverbank erosion mitigation measures comprising adaptive riverbank protection works and a range of non-structural instruments to adapt to the morphological processes of the Jamuna and the Meghna rivers. The Project scope comprises three parts, i.e., Part A: adaptive riverbank protection works; Part B: non-structural mitigation and social development to erosion-displaced poor; and Part C: capacity development. The Project will protect 7.0 km and 4.4 km of riverbank revetment using geo-textile sand bags in PIRDP and MDIP, respectively. It will be implemented over 6-year period starting from October 2002.",TRUE
51081-001,Climate Resilience and Disaster Risk Reduction in Water Resources Management,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,9390,27/09/2017,9/27/17,0,,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Ministry of Agri,Food Industry & Melioration","Rive, Nathan A.",,,,https://www.adb.org/projects/51081-001/main,https://www.adb.org/projects/51081-001/main,"The proposed project will strengthen the resilience of the water resources sector to floods, landslides, and droughts through structural and non-structural interventions. The project will comprise four outputs: (i) irrigation infrastructure modernized; (ii) disaster-resilient agricultural and land management practices introduced; (iii) flood protection infrastructure modernized; and (iv) disaster risk and water resources data collection and analysis improved. The project outcome will be climate change and disaster resilience of infrastructure and water security improved. The project will be aligned with the following impacts: (i) population and territories protected from emergencies; threats, risks, and hazards forecasted; and (ii) prevent climate change related damage and losses in the country.",TRUE
51158-001,Leveraging Information and Communication Technology for Irrigated Agricultural Information,Indonesia,Sovereign,Technical Assistance,Closed,9391,27/09/2017,9/27/17,0,Nation-wide,"Agriculture, natural resources and rural development",Irrigation,,,,Southeast Asia Department,Ministry of Public Works & Housing,"Aji, Priasto",,,,https://www.adb.org/projects/51158-001/main,https://www.adb.org/projects/51158-001/main,"The proposed knowledge and support technical assistance (TA) will improve delivery of information to farmers to help enhance their livelihoods. The TA will strengthen the existing use of information communication technology (ICT), to deliver low cost, timely and actionable extension information to the smallholder farmers specific to their needs to increase their ability to improve yields. The TA builds on and strengthens the outcomes of the loan - Integrated Participatory Development and Management of Irrigation Program (IPDMIP), to maximize the investments on infrastructure development, value chain services and improving the delivery of extension information to farmers and building capacity of extension workers. TA locations will overlap with IPDMIP in 3 districts to identify locations, crops and strategic value chains which have high potential for improved production, increased profitability and higher income for smallholders.",TRUE
51020-001,Preparing Regional Cooperation and Integration Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,9373,6/10/17,10/6/17,"2,000,000.00","Inner Mongolia, Lincang, Xinjiang","Agriculture, natural resources and rural development | Education | Industry and trade | Transport | Water and other urban infrastructure and services",Forestry | Pre-primary and primary - social protection initiatives | Secondary | Small and medium enterprise development | Trade and services | Multimodal logistics | Rail transport (non-urban) | Road transport (non-urban) | Other urban services | Urban sewerage | Urban water supply,,,,East Asia Department,Ministry of Finance,"Karimova, Zulfia K.",,,,https://www.adb.org/projects/51020-001/main,https://www.adb.org/projects/51020-001/main,,TRUE
51242-001,Resilient Communities Development Project,Myanmar,Sovereign,Technical Assistance,Closed,9413,26/10/2017,10/26/17,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Rural market infrastructure | Rural water supply services,B,A,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania",,,,https://www.adb.org/projects/51242-001/main,https://www.adb.org/projects/51242-001/main,"The ensuing project, Resilient Community Development Project (RCDP) will strengthen community resilience and reduce the food insecurity and poverty of rural people living in vulnerable areas, by building their capacity and providing resources to invest sustainably in climate- and disaster-resilient and market-oriented infrastructure and livelihoods. It will target areas that are vulnerable to climate and disaster risk (CDR) and will follow a phased, cluster approach, grouping vulnerable townships in the same area. The project has identified clusters of poor townships in regions exposed to CDR using climate projections and 2014 census data. It will benefit about 1.8 million people in 17 townships in Ayeyarwady, Chin, Sagaing, and Tanintharyi.",TRUE
46441-001,Climate Resilience and Green Growth in Critical Watersheds,Philippines,Sovereign,Technical Assistance,Closed,8493,25/10/2013,10/25/13,0,,"Agriculture, natural resources and rural development | Energy | Information and communication technology | Transport | Water and other urban infrastructure and services","Agricultural production | Forestry | Irrigation | Land-based natural resources management | Energy efficiency and conservation | Energy sector development and institutional reform | ICT industries and ICT-enabled services | Road transport (non-urban) | Water transport (non-urban) | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,,https://www.adb.org/projects/46441-001/main,https://www.adb.org/projects/46441-001/main,"The TA seeks to demonstrate climate resilient green growth options in critical watersheds in the lower Marikina river basin, Camarines Sur and Davao Oriental and strengthen the capacity of local government units (LGUs) to mainstream climate change concerns into development planning. Priority is given to watersheds because of their role as water support system' for both upstream and downstream communities such as domestic water consumers, irrigation water users, and hydropower companies. The watersheds are chosen based on their (i) high bio-physical vulnerability to climate change; (ii) high levels of urban poverty and population density with settlements in vulnerable locations; and (iii) high demonstration potential for mainstreaming climate resilience and green growth in local development at both policy and operational levels. The TA will create a green growth road map for three critical watersheds by considering five dimensions(i) economic development; (ii) resilience to climate change; (iii) biodiversity, ecosystems and social development; (iv) GHG emissions; and (v) poverty alleviationand deliver the following four outputs. Output 1: Collection of baseline information, and assessment of vulnerability to climate change. It involves stocktaking and vision setting for each watershed based on socio-economic profiling in consultations with stakeholders, including vulnerable communities, women and the private sector. It includes (i) baseline data collection through review of development plans and survey of local institutions, governments, and businesses; (ii) assessment of vulnerability to current and future impacts of climate change; (iii) economic valuation of natural resources and ecosystem services; and, (iv) preparation of GHG inventory following the global protocol for community-scale GHG emissions. Scenario setting will involve projection of future trends in usage of the natural resources and associated impacts. Output 2: Identification, analysis, and prioritization of gender-responsive and locally appropriate adaptation and mitigation measures. An inventory of climate change actions with the most significant impact across the five dimensions relevant to green growth will be prepared. Based on feedback from stakeholdersincluding vulnerable communities, women and the private sectoron the feasibility of implementing such actions, a short list will be prepared and a cost-benefit analysis will be used to assess potential outcomes of proposed measures. Such efforts will lead to effective integration of climate change into comprehensive development plans, investment plans and disaster risk reduction and management plans of the participating LGUs. Output 3: Selection of pilot demonstration areas and implementation of gender-equitable measures. Based on specific criteria, sites will be chosen to implement priority adaptation and GHG mitigation measures such as promoting renewable energy, forest rehabilitation and reforestation, community-based DRRM, and other measures focusing on sustainable management of natural resources. The primary focus of the TA will be on non-structural measures, which will not only enhance resilience of communities to climate change but also improve economic well-being. Community-based measures that improve resilience of women, children, and marginalized groups will be prioritized. Output 4: Development of knowledge products and strengthening of stakeholder capacity. It involves (i) disseminating the TA findings to national and local governments, private sector and civil society through workshops, seminars and knowledge products; (ii) documenting the process for future reference of stakeholders in demonstrating successful climate actions in other areas; (iii) preparing local climate change action plans and guidelines for effective integration of climate concerns in development plans; and (iv) strengthening the capacity of key stakeholders including women in vulnerability assessment, economic analyses, and piloting of climate change actions. Such actions will strengthen capacity of LGUs and national agencies to implement climate actions beyond the TA period.",TRUE
46078-002,Anhui Huainan Urban Water Systems Integrated Rehabilitation Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,3054 | 8491,25/10/2013,10/25/13,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban flood protection | Urban sewerage,A,C,A,East Asia Department,Anhui Provincial Finance Department,"Zheng, Baochang",,,,https://www.adb.org/projects/46078-002/main,https://www.adb.org/projects/46078-002/main,"The impact of the project will be improved urban water environment, public health, and quality of life for urban residents in the Huainan municipality. The outcome of the project will be improved management of surface water resources in the Huainan municipality. The project will have the following components which are all linked to each other: Component 1: Improvement of wastewater collection and transmission systems. This component will include installation of 115.2-kilometer (km) new main wastewater collection and transmission pipes in the eastern area of the Huainan municipality, and installation of 63.7-km new main wastewater collection and transmission pipes and construction of three new pump stations for wastewater transmission in the western area. Component 2: Improvement of urban water channels. This component will include improvement of existing 7.6-km Bagongshang water channel, 8.7-km Xiejiaji water channel, 13.8-km Donghua water channel, 0.5-km Old Longwang water channel, and 3.5-km Longwang water channel; and construction of a new 8.1-km Longwang flood diversion water channel. Activities under this component will include (i) sludge removal from the five existing urban water channels; (ii) improvement or construction of the water channels to improve the urban water environment and increase flood flow capacity to meet 1/20 year-level storm water; (iii) installation of new wastewater collection and transmission pipes along the channels to intercept wastewater inflow into the channels; and (iv) promotion of international best practices of nonstructural measures, such as reduction of garbage dumping along the channels and their tributaries; setting and securing of environmental flow in the channels; sustainable maintenance of the channels; monitoring of water quality and ecosystem; and capacity and institutional strengthening. Component 3: Improvement of lakes and wetlands. This component will include two subcomponents. Subcomponent 3.1: Increase of flood control capacities will include construction of 13-km embankments and four pump stations along Gaotang Lake, improvement of the Dajiangou and Long Lake pump stations, and reconstruction of the Caozhuizi and Shijian Lake pump stations to increase flood control capacities to meet 1/20 year-level storm water. Subcomponent 3.2: Improvement of water environment will include improvement of water environment in Gaotang Lake, Dajiangou wetland, Long Lake, Caoling Lake, and Shijian Lake. Activities to improve water environment may include, but are not limited to, (i) sludge removal (footnote 3); (ii) plantation for water self-purification; and (iii) promotion of international best practices of nonstructural measures, such as monitoring of water quality and ecosystem; species recovery; public awareness raising and education; and capacity and institutional strengthening. Component 4: Project management support and capacity development. Activities under this component will include (i) consultants' support for project management; (ii) institutional and capacity strengthening for project management, and operation and maintenance of the infrastructure; and (iii) provision of equipment for project management.",TRUE
38412-023,MFF - Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Tranche 1,India,Sovereign,Loan,Closed,2684,25/10/2010,10/25/10,"48,500,000.00",Palasbari,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection | Urban policy, institutional and capacity development",A,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,,https://www.adb.org/projects/38412-023/main,https://www.adb.org/projects/38412-023/main,"The components for financing under the Project are (i) development of flood and riverbank erosion risk management (FRERM) planning, institutional and knowledge bases, (ii)establishment of comprehensive FRERM systems (in particular, the Project will support the priority interventions to strengthen the FRERM systems of the 3 subproject area, viz., Dibrugarh in Dibrugarh district, Kaziranga in Golaghat district, and Palasbari-Gumi in Kamrup district), and (iii) provision of multidisciplinary project management systems.",TRUE
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan | Technical Assistance,Active,10229 | 3589 | 3886 | 4424,27/10/2017,10/27/17,"500,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,,https://www.adb.org/projects/50288-001/main,https://www.adb.org/projects/50288-001/main,"A technical assistance loan is proposed as the financing modality. The Project will directly support DPWH and DOTr to deliver more effective and more innovative infrastructure projects. The key benefits include: (i) effective identification, analysis, and planning for infrastructure gaps, especially roads, urban transport, urban water, sanitation, and flood management; (ii) addressing critical constraints such as resettlement processes and inadequate access to international knowledge, best practices, innovation, and technology; and (iii) implementation management of sophisticated public infrastructure projects with international expertise to supplement national expertise and resources. The Project will also help address key operational areas for ADB through gap analysis and support for country system development in key areas such as: (i) land acquisition; (ii) procurement; and (iii) start-up delays.",TRUE
51178-001,Sustaining the Gains of Regional Cooperation in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,9416,30/10/2017,10/30/17,"2,800,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Technical and vocational education and training | Electricity transmission and distribution | Energy sector development and institutional reform | Disease control of communicable disease | Health sector development and reform | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Sumbal, Asadullah Khan",,,,https://www.adb.org/projects/51178-001/main,https://www.adb.org/projects/51178-001/main,The knowledge and support technical assistance (TA) will support countries in the Greater Mekong Subregion (GMS) in transforming the GMS Program into a more effective regional cooperation platform that adds value to member countries' national development strategies and benefits the local populations of member countries.,TRUE
50121-001,Supporting Adaptation Decision Making for Climate Resilient Investments,Regional,Sovereign,Technical Assistance,Active,9414,2/11/17,11/2/17,"3,050,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Health | Information and communication technology | Public sector management | Transport | Water and other urban infrastructure and services","Irrigation | Rural flood protection | Education sector development | Secondary | Technical and vocational education and training | Electricity transmission and distribution | Large hydropower generation | Health sector development and reform | Health system development | ICT strategy and policy, and capacity development | Social protection initiatives | Road transport (non-urban) | Urban public transport | Urban flood protection | Urban water supply",,,,Climate Change and Sustainable Development Department,Asian Development Bank,"Milliken, Kathryn E.",,,,https://www.adb.org/projects/50121-001/main,https://www.adb.org/projects/50121-001/main,"The TA aims to improve the understanding by DMCs on how to make effective use of climate information and services to facilitate planning and decision-making under climate uncertainty. Through this TA, the DMCs will have enhanced technical capacity to generate, interpret and apply climate information in decision-making in sectors including agriculture, water and energy. It will also incorporate disaster risk management and reduction as a key component of building overall resilience of our DMCs.",TRUE
46528-002,Jalalpur Irrigation Project,Pakistan,Sovereign,Loan,Active,3599,24/11/2017,11/24/17,"274,630,000.00",Jalalpur Sharif,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,A,C,A,Sectors Group,"Agriculture Department, Government of the Punjab","Zafar, Asad A.",,,,https://www.adb.org/projects/46528-002/main,https://www.adb.org/projects/46528-002/main,"The Jalalpur Irrigation Project (JIP) is located along right bank of River Jhelum in Punjab, Pakistan. It will create new non-perennial irrigation services for enhanced agricultural production on 79,750 ha in Pind Daden Khan and Khushab districts. The project will increase kharif crop intensity by 50%, improve crop yield and reduce land degradation. It will directly benefit over 200,000 rural people; mostly poor. The project will (i) construct over 200 km new irrigation canals, (ii) introduce institutional reforms and establish farmers' organizations (FOs), and (iii) build farmers capacity. The project will contribute to food security and economic growth and will alleviate rural poverty in the project area. The project impact will be the increased agricultural production in the project area (Pind Daden Khan and Khushab districts). The project outcome will be irrigation water supplies and agricultural support services available in the project area. The project outputs will be (i) new irrigation canals and appurtenant structures constructed, (ii) farmers organizations established, (iii) private agriculture support services (PASS) available and (iv) capacity of the farmers and the staff from PID and Punjab Irrigation and Drainage Authority (PIDA) improved.",TRUE
51322-001,Strengthening Capacity to Design and Implement Water and Rural Infrastructure Facility,Regional,Sovereign,Technical Assistance,Active,9443,1/12/17,12/1/17,"2,500,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Rural flood protection | Rural market infrastructure | Water-based natural resources management | Road transport (non-urban) | Urban sanitation,C,C,C,Sectors Group,Asian Development Bank,"Lopez, Dennis A.",,,,https://www.adb.org/projects/51322-001/main,https://www.adb.org/projects/51322-001/main,"The transaction technical assistance (TA) facility provides project preparation support and capacity building, strengthens due diligence, and increases project readiness to a series of ensuing projects identified in the country operations business plans for Bangladesh, Bhutan, Nepal, and Sri Lanka. The TA supports (i) BAN: Climate and Disaster Resilient Small-Scale Water Resources Management Project; (ii) BAN: Climate Resilient Livelihood Improvement and Watershed Management in Chattogram Hill Tracts Sector Project; (iii) BAN: Crop Commercialization and Productivity Improvement Project (CCPIP); (iv) BAN: Flood and Riverbank Erosion Risk Management Investment Program Tranche 2; (v) BAN: Irrigation Management Improvement Project Additional Financing; (vi) BAN: Rural Connectivity Improvement Project Second Additional Financing; (vii) BAN: Rural Connectivity Improvement Project and Additional Financing; (viii) BAN: Southwest Area Integrated Water Resources Planning and Management Project Additional Financing; (ix) BHU: Bhutan Integrated Irrigated Agriculture Development Project; (x) BHU: Phuentsholing Township Development Project Additional Financing; (xi) NEP: Bagmati River Basin Improvement Project Additional Financing; (xii) NEP: Climate Resilient Community-Managed Irrigation Project; (xiii) NEP: Climate Resilient Landscapes and Livelihoods; (xiv) NEP: Food Safety and Agriculture Commercialization Program; (xv) NEP: Mechanized Irrigation Innovation Project; (xvi) NEP: Nagmati Dam Development Project; (xvii) NEP: Nuts and Fruits in Hilly Areas Project; (xviii) NEP: Priority River Basins Flood Risk Management Project; (xix) NEP: Rural Connectivity Improvement Project; (xx) NEP: Rural Connectivity Improvement Project Additional Financing Program Tranche 3; (xxi) SRI: Integrated Water Productivity Improvement Project; (xxii) SRI: Mahaweli Water Security Investment; (xxiii) SRI: Mahaweli Water Security Investment Program Tranche 2. These projects are all in the rural sector and require similar due diligences. The TA reduces transaction costs through minimizing the need for stand-alone transaction TAs. The TA also provides capacity building support to ongoing projects. On 20 October 2022, ADB approved a minor change in the scope of the TA facility to include knowledge and support activities for up to 30% of the TA facility amount. This allows mobilization of consultants to support with research, policy advice, knowledge sharing, pipeline development, and inputs to project concept preparation.",TRUE
50278-001,Community Vegetable Farming for Livelihood Improvement,Mongolia,Sovereign,Grant,Active,0684 | 9192,4/12/17,12/4/17,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production",C,C,C,Sectors Group,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Yanoma, Yukitsugu",,,,https://www.adb.org/projects/50278-001/main,https://www.adb.org/projects/50278-001/main,"The Community Vegetable Farming for Livelihood Improvement project is a pilot initiative aiming to improve the livelihood of smallholders involved in vegetable production in selected soums of four of Mongolia's aimags: Bornuur in Tuv, Orkhon in Darkhan-Uul, Ulaangom in Uvs, and Yeruu in Selenge. This is to be achieved by introducing a community farming model, applying improved climate-resilient farming practices, strengthening farm-to-market linkages, and integrating farming groups into inclusive agriculture value chains. Project beneficiaries will be vegetable growers, seed producers, and household-based food processers across the four sites. The project has strong pro-poor and participatory features and will directly benefit at least 180 farming households (many of them female-headed) representing about 500 farmers and seed producers. Indirect benefit will accrue to the wider community in target soums with a total population of about 45,000 and beyond. The additional financing from the High-Level Technology Fund (HLTF) was requested for the design, testing, and rolling out of one HLT winter greenhouse, particularly envisioned to be utilized for (i) consulting advisory for (a) a rapid assessment and technical viability study of the different types of winter greenhouse models suitable for the weather in Mongolia; (b) design and implementation of a winter greenhouse; and (c) a brief feasibility study for future scale-up and investment and project development; (ii) provision of required equipment and systems needed for piloting the HLT winter greenhouse, including the HLT systems for irrigation, heating, ventilation, and waste management; and (iii) conduct of required consultation workshops and training for technology and approaches being introduced and piloted within the project. The project will strengthen women's capacity and participation in vegetable value chain activities; and they are expected to significantly benefit from HLT greenhouse practices training provided by the project. Use of the HLTF for the subject grant presents a strong demonstration opportunity for replication in the country and region, in places with similar climate and has opportunities for scale-up.",TRUE
48218-007,Support for Value Chain Development Under the Nepal Agriculture Development Strategy,Nepal,Sovereign,Technical Assistance,Closed,9444,5/12/17,12/5/17,"225,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Livestock | Rural market infrastructure",,,,South Asia Department,Ministry of Agricultural Development,"Rana, Arun S.",,,,https://www.adb.org/projects/48218-007/main,https://www.adb.org/projects/48218-007/main,"The small-scale TA will conduct scoping of the proposed loan, Nepal: Targeted Value Chain Development Project (TVCDP), expected to consist of three major subprojects: (i) value chain development along selected geographic corridors and their commodities;(ii) organizational development of the provincial and municipal governments for the agriculture sector; and (iii) improved access to finance by agribusinesses. The small-scale TA will focus on the first two subprojects and provide inputs to the formulation of the TVCDP concept paper.",TRUE
49021-002,Heilongjiang Green Urban and Economic Revitalization Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Active,3613 | 3827 | 9436,5/12/17,12/5/17,"460,750,000.00","Hegang, Jixi, Qitaihe Shi, Shuangyashan","Agriculture, natural resources and rural development | Energy | Finance | Industry and trade | Transport | Water and other urban infrastructure and services",Land-based natural resources management | Energy efficiency and conservation | Small and medium enterprise finance and leasing | Small and medium enterprise development | Urban public transport | Urban roads and traffic management | Urban flood protection | Urban sewerage | Urban water supply,A,C,A,Sectors Group,Heilongjiang Provincial Finance Department,"Liu, Xinjian",,,,https://www.adb.org/projects/49021-002/main,https://www.adb.org/projects/49021-002/main,"The project will continue ADB's long-term partnership with HPG and take a strategic, holistic, and long-term approach to further develop and implement the Transformation Development Plan of Coal Cities in Heilongjiang (2014-2020), establishing a non-coal economic base, i.e., green food, pharmaceutical, renewable energy, and high-tech industries. The indicative project impacts are revitalized economy of East Heilongjiang subregion with non-coal industries in the cities of Hegang, Jixi, Qitaihe, and Shuangyashan; improved East Heilongjiang smart city cluster cooperation; and improved living environment, safety, and public health in the cities of Hegang, Jixi, Qitaihe, and Shuangyashan. The indicative project outcome is improved enabling environment for non-coal economic and industrial transformation. The project is expected to have four outputs: (i) key components facilitating economic diversification and industrial transformation towards a non-coal future in the project cities improved; (ii) remediation and environmental cleanup and safety of impacts from coal mining in the project cities improved; (iii) integrated basic urban infrastructure and services in the project cities improved; and (iv) capacity in project cities developed in areas of (a) economic diagnostic study and strategy, non-coal industry development planning, and smart city cluster cooperation; (b) prioritized investment program preparation; (c) project planning and management; (d) mining remediation management and environment cleanup; and (e) infrastructure and services delivered through public-private partnerships.",TRUE
51099-001,Implementing Innovative Approaches for Improved Water Governance,Mongolia,Sovereign,Technical Assistance,Closed,9440,5/12/17,12/5/17,0,Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban water supply",,,,East Asia Department,Ministry of Environment and Climate Change,"Fan, Mingyuan",,,,https://www.adb.org/projects/51099-001/main,https://www.adb.org/projects/51099-001/main,"The proposed knowledge and support technical assistance (TA) will strengthen water governance processes at the river basin level so that lessons learned can be scaled up and applied across Mongolia and other river basins in the region. The TA will support capacity building primarily through training, learning by doing, knowledge sharing, and pilot testing small-scale interventions. The TA will analyze lessons learned and prepare them as recommendations to support longer-term institutional and policy reforms. The TA is designed to bring significant changes to the approach to planning and managing water sector investments at the river basin level across Mongolia. It will improve the effectiveness and sustainability of water sector investments and infrastructure to provide socio-economic benefits. The TA is consistent with the Asian Development Bank''s (ADB) country partnership strategy for Mongolia, 2017-2020. It will complement efforts of the Ministry of Environment and Tourism to implement its responsibilities in the water sector, underpinned by the Mongolia Sustainable Development Vision 2030. It builds on ADB''s country water security assessment, the Ministry of Environment and Tourism''s Integrated Water Management Plan for Mongolia, and the Ulaanbaatar 2020 Master Plan and Development Approaches for 2030. The TA converges with ADB''s Water Operational Plan, which aims to enhance water governance and resilience to water-related disaster risks and the capacity for climate change adaptability of developing member countries.",TRUE
43253-013,Karnataka Integrated and Sustainable Water Resources Management Investment Program,India,Sovereign,Loan,Active,85,25/09/2014,9/25/14,"150,000,000.00",,"Agriculture, natural resources and rural development",,,,,Sectors Group,,"Michels, Alexia",,,,https://www.adb.org/projects/43253-013/main,https://www.adb.org/projects/43253-013/main,The investment program will improve water availability to meet competing water demands in selected river basins in the state of Karnataka by implementing integrated water resources management (IWRM). It will improve water use efficiency in irrigated agriculture to provide economic opportunities to improve rural incomes.,TRUE
44458-013,Amu Bukhara Irrigation System Rehabilitation Project,Uzbekistan,Sovereign,Loan,Active,3025 | 3026,25/09/2013,9/25/13,"220,000,000.00","Bukhara, Bukhara District, Kogon Tumani, Qiziltepa, Qiziltepa Tumani, Sheykhan","Agriculture, natural resources and rural development","Irrigation | Rural water policy, institutional and capacity development",B,C,C,Sectors Group,Ministry of Water Resources,"Rozikhodjaev, Bokhodir",,,,https://www.adb.org/projects/44458-013/main,https://www.adb.org/projects/44458-013/main,"The proposed project is located in Bukhara Province and two districts in Navoi Province in the central part of Uzbekistan. The project will ensuer a sustainable and reliable water supply for irrigated agriculture in the main command area of 250,000 ha in the Amu Bukhara Irrigation System (ABIS) and drinking water for 725,000 population.",TRUE
40238-023,Productive Rural Infrastructure Sector Project in the Central Highlands,Viet Nam,Sovereign,Loan,Closed,3032,25/09/2013,9/25/13,"80,000,000.00","An Quy, Bao Thuan, Buon Dak N'drong, Buon Dier, Buon Ma Thuot, Buon Tria, Da Lao, Dak Doa, Dak Ket, Dak Long Tuar, Dak Mam, Dak Mon, Dak Nang, Dak Nghe, Dak Nong, Duc Lang, Ea Dreh, Gia Lai, Ho Dak M'Hang, Huyen Cu Jut, Huyen Da Teh, Huyen Dak Mil, Huyen Di Linh, Huyen Ea Kar, Huyen Krong Nang, Huyen Krong No, Huyen Krong Pak, Huyen Lam Ha, Huyen Tra My, Kon Dak Dem, Kon Tao, Kon Trang Kla, Kon Tum, Nghia Hung, Plei To Von, Tinh Dak Lak, Tinh Lam Dong, Xa A Dok, Xa Chu Jor, Xa Dak La, Xa Ha Tam, Xa Sa Son, Xa Tan Lap, Xa Tan Son, Ya Soup","Agriculture, natural resources and rural development | Transport","Agricultural policy, institutional and capacity development | Irrigation | Road transport (non-urban)",B,B,B,Southeast Asia Department,Ministry of Agriculture and Rural Development,"Vu, Chau N.",,,,https://www.adb.org/projects/40238-023/main,https://www.adb.org/projects/40238-023/main,"The project aims to regenerate and upgrade underdeveloped or outdated productive rural infrastructure (PRI), targeting areas with good potential for agricultural production with existing irrigation schemes. The PRI investments will include irrigation and associated access infrastructure. The project will be carried out in Viet Nam''s Central Highland provinces (CHPs) of Dak Lak, Dak Nong, Gia Lai, Kon Tum, and Lam Dong over 5 years. It directly supports the Government of Viet Nam''s National Target Program for New Rural Development, 2010-2020 (NRD) with activities based on the socioeconomic development plans (SEDPs) of the participating provinces. It supports the National Water Resources Strategy (NWRS), 2006-2020, for which the Asian Development Bank (ADB) is playing a major role in revising and updating water resources policy and strengthening water sector institutions.",TRUE
